Window,AGRI/ REACT,Company,Latitude,Longitude,Country,Town,Description
TZAW,AGRI,A to Z Textile Mills Ltd.,-3.3869254,36.6829927,Tanzania,Arusha,
AAW,AGRI,AACE Food Processing and Distribution,6.7119056,3.2533339,Nigeria,Sango-Ota,"A local food processing company sourcing, processing and marketing high quality spices, sauces and nutritious food products to both commercial and retail customers."
ZIM,AGRI,ABSTCM,,,Zimbabwe,,
TZAW,AGRI,Africado Ltd,-3.186787,37.0708891,Tanzania,Sanya Juu,
ZIM,AGRI,African Century Financial Services Ltd,-17.8251657,31.03351,Zimbabwe,Harare,
REACT,REACT,Africa Power Initiative,0.3475964,32.5825197,Uganda,Kampala,"A private limited company working to sustainably produce bio-diesel for East Africa with the aim of providing a clean, competitive and quality energy option while contributing to the creation of job opportunities, climate change mitigation and at the same time playing a role in the economic development efforts of Uganda."
REACT,REACT,Afrisolar,,,Mozambique,,
GW,AGRI,Afrivet Business Management,-25.7478676,28.2292712,South Africa,Pretoria,
GW,AGRI,AGF Afrique,,,Mali,,
RIB,AGRI,Agri-Protein Technologies (Pty) Ltd,-33.9321045,18.860152,South Africa,Stellenbosch,"As a leading nutrient recycling company, AgriProtein uses organic abattoir waste and fly larvae to create high quality, low cost protein for the mono‐gastric (chicken, fish and pig) animal feed industry."
GW,AGRI,Agrobiotec,-3.361378,29.3598782,Burundi,Bujumbura,
REACT,REACT,Agro-Negocia para o Dezenvolvimento Mocambique Lda,-5.0319352,39.7755571,Mozambique,Pemba,"A local affiliate of Nippon Bio-diesel Fuel Company (NBF), a Japanese enterprise that promotes the shift from exploitation and use of fossil fuels to clean and sustainable energy. The AECF - ADM’s project seeks to plant Jatropha curcas, produce and process seeds into bio-fuel and bio-fertilizer to fulfill the local demand for energy while reducing overreliance on fossil fuels. The company aims to reduce the price gap of fuel between cities and rural areas, while improving the accessibility of rural households to fuels and bio-fertilizers."
REACT,REACT,Amarula Farms ltd,-14.5656065,40.6854309,Mozambique,Nacala,"An integrated agriculture production company, involved in aggregation of agricultural produce in Mozambique. The AECF - Amarula Farms project seeks to establish a research centre to help the local population with seeds for their farming needs and also to test local water and soil and equip participating rural farmers with better agricultural practices."
ZIM,AGRI,Ariston Management Services (Private) Limited,-18.4715988,32.8761309,Zimbabwe,Honde Valley,
REACT,REACT,Azuri Technologies,,,Kenya,,
PCW,AGRI,Balmed Holding Ltd,8.4712279,-13.1870122,Sierra Leone,Kissy,
AAW,AGRI,Barry Callebaut AG,5.3599517,-4.0082563,Ivory Coast,ABIDJAN,
GW,AGRI,Barudi SA,-3.361378,29.3598782,Burundi,Bujumbura,
ZIM,AGRI,B'Ayoba (Pvt) Ltd,-20.1914261,32.6333973,Zimbabwe,Chipinge,"The first dedicated baobab production company that processes and markets it in Zimbabwe. It operats as a joint venture between two highly experienced companies, Organic Africa and Bio-Commerce Zimbabwe. The company is introducing a set of new, high-throughput processing technologies that will dramatically increase productivity, improve quality, reduce costs and lower the price of the final products to the end consumers."
REACT,REACT,BBOXX Ltd,,,Kenya,,
GW,AGRI,Bennimix Food company,8.4656765,-13.2317225,Sierra Leone,Free Town,"The only company that manufatures complementary baby food in Sierra Leone, and uses ingredients used sourced domestically from farmers in Sierra Leone. The company is improving, expanding and developing its smallholder supply chain who produce legumes required for the making of baby foods."
REACT,REACT,Bioenergy Systems Suppliers (Kenya) Limited,-1.2920659,36.8219462,Kenya,Nairobi,
GW,AGRI,Biolands International Limited,,,Sierra Leone,,
RIB,AGRI,BLGG Kenya,-1.2920659,36.8219462,Kenya,Nairobi,
RIB,AGRI,Brentec Investments Ltd,0.3475964,32.5825197,Uganda,Kampala,
ZIM,AGRI,Bulawayo Abbattoirs,-20.1325066,28.626479,Zimbabwe,Bulawayo,"The company is commercialising the value chain for goats for small holder farmers in rural Matabeleland, by constructing collection buying points in rural areas, arranging transportation of goats to the abattoir in Bulawayo and leveraging off existing sales and distribution networks in Zimbabwe."
PCW,AGRI,Bulsho TV Media Network,23.885942,45.079162,Somalia,sa,
REACT,REACT,Bunge Limited,-14.6720771,34.2421597,Mozambique,Angonia,
RIB,AGRI,BusinessMinds BV,24.00242,85.5032832,Uganda,Jinga,
AAW,AGRI,C. Dorman Ltd,-1.9705786,30.1044288,Rwanda,Kigali,
ZIM,AGRI,CABS,-17.8251657,31.03351,Zimbabwe,Harare,
PCW,AGRI,Capitol Foods Ltd,8.4656765,-13.2317225,Sierra Leone,Free Town,"The company has established a fruit juice factory to become the market leader in processed natural fruit products for local and regional markets, while increasing the capacity and incomes of farmers supplying fruits to the plant"
REACT,REACT,Carbon Africa M Ltd,-25.891968,32.6051351,Mozambique,Maputo,"A subsidiary of Carbon Africa Limited, a climate finance advisory and project development company, that seeks to produce high quality, certified compost in Mozambique by establishing a waste management and recycling initiative that are commercially viable. The project aims to reduce the amount of waste deposited at the final dumpsites as well as reduce the municipal waste management costs"
SSW,AGRI,Century Seed Co.Ltd,4.0952713,30.6775054,South Sudan,Yei,
TZAW,AGRI,Chobo Investment Company Limited,-3.6809961,33.4271403,Tanzania,Shinyanga,"A privately owned meat processing firm based in Mwanza aiming to acquire processing facilities in order to expand and modernise its existing operations with the objective of adding value to local livestock and create sustainable markets for rural farmers around the lake region keeping cattle, goats, sheep and pork."
RIB,AGRI,Cleanstar Mozambique,-25.891968,32.6051351,Mozambique,Maputo,
ZIM,AGRI,Coopers Zimbabwe (1992) (Pvt) Ltd,-17.8251657,31.03351,Zimbabwe,Harare,
AAW,AGRI,Copa Connect Ltd,5.9987998,0.5967369,Ghana,Sogakope,
TZAW,AGRI,Coseke,,,Tanzania,,
RIB,AGRI,Cross Frontier International Ltd,-1.2920659,36.8219462,Kenya,Nairobi,
REACT,REACT,Cummins Cogeneration Ltd,-1.2920659,36.8219462,Kenya,Nairobi,
AAW,AGRI,Curechem South Africa (Pty) Ltd,-19.1054879,33.4607744,Mozambique,Chimoio,
GW,AGRI,DADTCO,,,Nigeria,,The company is introducing a new and innovative cassava processing system that can be done at the household level of the small scale farmer in Nigeria. The project enables the simple processing of cassava at a basic level and consequently replaces imports.
TZAW,AGRI,Darsh Industries Limited,-3.3869254,36.6829927,Tanzania,Arusha,
GW,AGRI,Dominion Farms Ltd,-0.0998238,34.2747004,Kenya,Siaya,
SSW,AGRI,Dryland Seed Ltd,,,South Sudan,,
AAW,AGRI,Dryland Seed Ltd.,-1.5176837,37.2634146,Kenya,Machakos,
REACT,REACT,ea-power limited,-6.792354,39.2083284,Tanzania,Dar es Salaam,
PCW,AGRI,EcoPower Liberia,,,Liberia,,
REACT,REACT,Ecosmart Energy Ltd,-1.2920659,36.8219462,Kenya,Nairobi,
REACT,REACT,EGG Energy,-6.792354,39.2083284,Tanzania,Dar es Salaam,
PCW,AGRI,Esco Kivu S.P.R.L.,0.4990124,29.4527538,D.R. Congo,Beni,"Esco Kivu is a commodity exporting company that promotes cocoa production through provision of planting materials, farmer training, direct purchasing from farmers and facilitating organic and UTZ certification. With AECF support, will construct cocoa collection centres, a cocoa factory and a 300 metric tonne collaterally managed export warehouse facility to the benefit of thousands of cocoa farmers."
AAW,AGRI,Esoko Networks Ltd,-1.2920659,36.8219462,Kenya,Nairobi,
REACT,REACT,Everest Energy,-15.1266347,39.2687161,Mozambique,Nampula,
RIB,AGRI,ExAgris Africa Limited,-13.9626121,33.7741195,Malawi,Lilongwe,
